"cluster","latitud","longitud","cluster_size","y","x"
"1094","19.329637400000014","-99.21125877464561","1199","2193784.083742585","-11044146.807753244"
"1796","19.445347821780825","-99.08716668608216","365","2207439.224486776","-11030332.939642886"
"2202","19.3405429161017","-99.13725906288141","354","2195070.644380847","-11035909.197520804"
"2338","19.346651390290695","-99.18071023165685","344","2195791.3193039643","-11040746.159503257"
"745","19.30406625150769","-99.18616264596918","325","2190767.705552233","-11041353.119488101"
"855","19.306335377170416","-99.20950705090036","311","2191035.3530299254","-11043951.806757912"
"1819","19.343409157542094","-99.1560656600336","297","2195408.7988444567","-11038002.73833934"
"557","19.36419197228668","-99.00642940590444","293","2197860.8989413427","-11021345.306725468"
"2103","19.40414800560138","-99.13990898213062","291","2202576.066468189","-11036204.18518227"
"2815","19.371090707101466","-99.19185365666664","276","2198674.9284358653","-11041986.639901042"
"239","19.383324785444014","-99.26683657189196","259","2200118.596814416","-11050333.699842118"
"2255","19.34109402442231","-99.14355407820712","251","2195135.662775436","-11036609.955421397"
"1895","19.46814770764001","-99.17625460096004","250","2210131.0157465315","-11040250.160962926"
"1225","19.294621787489874","-99.1025133391903","247","2189653.753812939","-11032041.321252266"
"2322","19.473259032398364","-99.14606058532522","246","2210734.5189252323","-11036888.978517454"
"2113","19.301431067272723","-99.1473029488744","231","2190456.8854631376","-11037027.27779513"
"1958","19.382242009782612","-99.19952063434779","230","2199990.820741203","-11042840.123952432"
"552","19.35713990393806","-98.99539982805315","226","2197028.812164672","-11020117.499735398"
"1260","19.291194823794644","-99.11495781330359","224","2189249.5676113223","-11033426.633773748"
"186","19.39259953348216","-99.25946333249995","224","2201213.125089844","-11049512.914587503"
"2828","19.402684380275222","-99.19223101683494","218","2202403.325232561","-11042028.647442821"
"1560","19.429659075576033","-99.2115482132719","217","2205587.205486801","-11044179.027913738"
"2877","19.45376656190698","-99.16406936827907","215","2208433.1104471795","-11038893.707065683"
"2108","19.297953210892018","-99.15140572765264","213","2190046.6798235984","-11037483.99703956"
"1115","19.363221753981044","-99.19609459530805","211","2197746.4189279247","-11042458.73903109"
"1314","19.45015666194312","-99.2196561584361","211","2208006.9324196344","-11045081.600240797"
"2884","19.35129050056873","-99.186236573365","211","2196338.657384645","-11041361.349048158"
"2823","19.411252801571422","-99.19393893328574","210","2203414.6168411146","-11042218.771832442"
"1925","19.28248305717703","-99.12492850985637","209","2188222.114265134","-11034536.566636857"
"1109","19.335129794976083","-99.19969055535877","209","2194432.029423941","-11042859.039472848"
"3025","19.4435091042233","-99.1658105069903","206","2207222.1590138483","-11039087.529740417"
"2398","19.357763370394103","-99.15316191251237","203","2197102.374691611","-11037679.494643886"
"1271","19.310876730796014","-99.11083059985076","201","2191571.0250605014","-11032967.194473783"
"1827","19.417116161044767","-99.09770447223886","201","2204106.673074899","-11031506.00063194"
"309","19.363378965628147","-99.2823264103016","199","2197764.968924857","-11052058.02076635"
"1931","19.301491992412053","-99.16253884180898","199","2190464.0715292906","-11038723.329638388"
"1116","19.337592266414138","-99.20553349550511","198","2194722.5377729232","-11043509.472594673"
"1376","19.455572458730952","-99.11349656517773","197","2208646.3148022913","-11033263.968376452"
"2733","19.43292664887754","-99.15499518627554","196","2205972.9199534957","-11037883.573745685"
"3067","19.431951440564102","-99.18131398825636","195","2205857.802533203","-11040813.36938048"
"1608","19.377879675824747","-99.09647087164943","194","2199476.0395121756","-11031368.676842483"
"1068","19.359312524867743","-99.130593818836","189","2197285.1599492654","-11035167.225947658"
"1942","19.298087445508013","-99.13809674411763","187","2190062.512344511","-11036002.447769467"
"662","19.373290424347825","-99.20736101793482","184","2198934.4955520662","-11043712.911460962"
"1629","19.38187136994536","-99.08316756661196","183","2199947.0825105216","-11029887.759699842"
"2775","19.447215810499998","-99.15304951605552","180","2207659.7480161553","-11037666.98272754"
"2895","19.368022142977537","-99.18085511741569","178","2198312.843050803","-11040762.288112156"
"1232","19.390060817005637","-99.2022032419774","177","2200913.520783566","-11043138.750467757"
"1821","19.27357102840909","-99.1198357742045","176","2187171.0988384564","-11033969.645897346"
"1826","19.41986841459771","-99.09616723448269","174","2204431.5320083704","-11031334.876107695"
"714","19.294543486896533","-99.18200297126435","174","2189644.5187156405","-11040890.066618094"
"515","19.424029424540237","-99.22267542477013","174","2204922.682252073","-11045417.70343167"
"743","19.297690174393068","-99.18537555953755","173","2190015.655592002","-11041265.50142732"
"1327","19.4394298434503","-99.11379547339179","171","2206740.600264769","-11033297.242686637"
"1124","19.34076102284024","-99.20306517798817","169","2195096.37604737","-11043234.700745571"
"986","19.304666551071428","-99.08737500285716","168","2190838.5116107506","-11030356.129360205"
"1593","19.32774728940119","-99.06834240059874","167","2193561.1097344663","-11028237.429768326"
"130","19.4054220217964","-99.24065710850299","167","2202726.4307586644","-11047419.415308418"
"1440","19.4309572564072","-99.11521318628742","167","2205740.4458413376","-11033455.06176427"
"1472","19.39795338299402","-99.11347208119759","167","2201844.9700698103","-11033261.24283225"
"916","19.33630972127273","-99.1760568574546","165","2194571.229858436","-11040228.148256592"
"421","19.507473393475603","-99.14371858634146","164","2214774.759725223","-11036628.268383143"
"1228","19.479216975185185","-99.18861488728392","162","2211438.0078244875","-11041626.10174256"
"658","19.267243136666675","-99.17090588024692","162","2186424.8711595684","-11039654.744096747"
"562","19.358344693478262","-99.00260963068325","161","2197170.9649943984","-11020920.091292901"
"3089","19.439784850558997","-99.18361940763977","161","2206782.508548552","-11041070.007492306"
"2466","19.459715793043475","-99.12227135273297","161","2209135.4862266425","-11034240.773258923"
"1574","19.430268646937492","-99.20624787931249","160","2205659.16058835","-11043588.997436343"
"369","19.501902860817616","-99.2044613737106","159","2214116.898984492","-11043390.124542441"
"712","19.302921576100633","-99.19301989477985","159","2190632.6904257117","-11042116.464933949"
"2318","19.501177536226415","-99.11755719207548","159","2214031.24231272","-11033715.995295012"
"2951","19.44068503745099","-99.17637389490199","153","2206888.775247581","-11040263.440703798"
"3125","19.363391942941167","-99.1907703302614","153","2197766.50016791","-11041866.044557247"
"2414","19.403490546842097","-99.14752644065788","152","2202498.4711179016","-11037052.156786663"
"2655","19.366275322960522","-99.16756594664469","152","2198106.724283349","-11039282.944388863"
"2699","19.400932873799995","-99.16588563526666","150","2202196.609485377","-11039095.892981887"
"3052","19.33192065946666","-99.1897136028667","150","2194053.440477136","-11041748.410201762"
"1744","19.37919981533334","-99.10152144253341","150","2199631.822333706","-11031930.903821502"
"1342","19.402267085666647","-99.12889645966675","150","2202354.0752173564","-11034978.276789242"
"1128","19.34482274067113","-99.2025034816779","149","2195575.5732498164","-11043172.172998331"
"1939","19.366337346241608","-99.20478752409396","149","2198114.0427798475","-11043426.431437038"
"2353","19.495232779387752","-99.15428262870749","147","2213329.215115574","-11037804.25220005"
"2513","19.381627454557822","-99.15287069462583","147","2199918.2987525803","-11037647.076417044"
"2493","19.428389961904774","-99.19692525816325","147","2205437.39747288","-11042551.20799715"
"480","19.389089561156457","-99.21225468673464","147","2200798.9001473356","-11044257.672179868"
"3021","19.427773761793112","-99.16842189931036","145","2205364.660742273","-11039378.228603749"
"335","19.358153824827593","-99.27768283310341","145","2197148.444377943","-11051541.10011719"
"2216","19.33225794606896","-99.1406761133794","145","2194093.2305877097","-11036289.581842255"
"84","19.282516532013886","-99.20209886430557","144","2188226.062135095","-11043127.131198479"
"873","19.306508984125877","-99.20573420790213","143","2191055.8304373617","-11043531.815796506"
"1123","19.356527287132863","-99.19868932209786","143","2196956.530057082","-11042747.582696078"
"294","19.363081623916074","-99.28736716454549","143","2197729.884466559","-11052619.154961994"
"2039","19.28641327809859","-99.15699252978872","142","2188685.6321543492","-11038105.917008512"
"1665","19.344496411619716","-99.06129551035214","142","2195537.0728506083","-11027452.973534398"
"414","19.5160361215493","-99.13459450683104","142","2215786.0326372567","-11035612.580498086"
"466","19.38672655556338","-99.24308475781692","142","2200520.038062539","-11047689.659993868"
"1605","19.409929079148927","-99.10382193829787","141","2203258.3804529742","-11032186.993838573"
"868","19.298360491489362","-99.2115489374468","141","2190094.7172385897","-11044179.10852852"
"464","19.304693837021283","-99.05931498872346","141","2190841.7300276626","-11027232.502875187"
"1180","19.355421961347517","-99.10555700113471","141","2196826.1143455254","-11032380.140150065"
"2139","19.45709491666667","-99.14902084780137","141","2208826.0581788","-11037218.513428913"
"333","19.356335524714282","-99.27591110249999","140","2196933.9042370366","-11051343.871968593"
"2870","19.373638674428573","-99.17873236407141","140","2198975.58945905","-11040525.984290792"
"1680","19.416234946214278","-99.07174935164284","140","2204002.661106231","-11028616.689823711"
"1553","19.433355504244602","-99.20997003676258","139","2206023.543944559","-11044003.34610834"
"64","19.31278687474821","-99.25947948517987","139","2191796.3391318005","-11049514.712695608"
"1572","19.370875702086337","-99.09487565978418","139","2198649.5579850273","-11031191.098669935"
"1437","19.35775578173913","-99.12178342449275","138","2197101.4793079305","-11034186.457335677"
"1532","19.43867751700729","-99.21390968525546","137","2206651.789078254","-11044441.905772472"
"2677","19.46637873661765","-99.14051958720589","136","2209922.1546340887","-11036272.157428322"
"471","19.39335796274073","-99.23811375259264","135","2201302.631332615","-11047136.29022357"
"1902","19.49089824925927","-99.17343950096294","135","2212817.358788741","-11039936.785464717"
"1614","19.469880443208954","-99.1154620538806","134","2210335.6007754738","-11033482.765578019"
"2914","19.40288224440299","-99.16031691955217","134","2202426.677630426","-11038475.986384178"
"2034","19.51946321248121","-99.16363695390982","133","2216190.792979044","-11038845.570918286"
"2170","19.29539108689394","-99.15544417318182","132","2189744.488415864","-11037933.554739464"
"1127","19.347816578320597","-99.20188060389307","131","2195928.7907053046","-11043102.834560499"
"1702","19.41439666438461","-99.08690887784617","130","2203785.6859645494","-11030304.240561334"
"1162","19.32801636976923","-99.10711818761541","130","2193592.8526549647","-11032553.93063413"
"852","19.302992293615375","-99.20727546492309","130","2190641.031570109","-11043703.38774326"
"6","19.191946068230777","-99.02371300023077","130","2177547.5406620367","-11023269.307644952"
"2987","19.425577426589143","-99.1620379884496","129","2205105.4059058377","-11038667.574897459"
"2293","19.35592985852714","-99.16747695457366","129","2196886.0402530204","-11039273.037836831"
"386","19.31748661883722","-99.23687252945736","129","2192350.716135886","-11046998.117896192"
"1296","19.364659182015497","-99.10945567744189","129","2197916.0271650744","-11032814.138811348"
"2727","19.41274865217054","-99.18974178651165","129","2203591.170714621","-11041751.547590766"
"1904","19.313131925937498","-99.13587632804682","128","2191837.0404749434","-11035755.272183115"
"1051","19.2464688296875","-99.10134855078111","128","2183975.2272204715","-11031911.657599673"
"1976","19.29559097906248","-99.13144584320314","128","2189768.0646595852","-11035262.07286635"
"1426","19.368645620468744","-99.12226253890628","128","2198386.411790106","-11034239.792108223"
"353","19.368753723385833","-99.26256533401579","127","2198399.1676847246","-11049858.227816688"
"2454","19.471972364566938","-99.12215791842522","127","2210582.5979798906","-11034228.145809546"
"1541","19.31836125559055","-99.07546001456687","127","2192453.8891515792","-11029029.75893092"
"3170","19.399486485433073","-99.18496618236217","127","2202025.905969459","-11041219.929768616"
"2483","19.439760678740154","-99.14327905645666","127","2206779.6550832246","-11036579.34014018"
"1901","19.481882283015885","-99.17458725603173","126","2211752.7245723163","-11040064.552974531"
"1326","19.356573631587302","-99.0864132650793","126","2196961.9981882167","-11030249.069200495"
"325","19.359105323040005","-99.26073741687998","125","2197260.7120352923","-11049654.745011916"
"666","19.400736832079996","-99.21022098872002","125","2202173.4724495523","-11044031.281952456"
"1","19.222694738959998","-99.20493140767996","125","2181172.238247079","-11043442.448484566"
"877","19.311191307096774","-99.22095151693556","124","2191608.131227888","-11045225.79888935"
"2059","19.27859975532258","-99.16713281306448","124","2187764.140788138","-11039234.72817927"
"1322","19.465465807419367","-99.08052294306457","124","2209814.3666442493","-11029593.361553205"
"142","19.36769262276422","-99.23285257284554","123","2198273.9606273985","-11046550.618373154"
"3054","19.43904691829268","-99.16780558967481","123","2206695.396382064","-11039309.621328948"
"1720","19.398200545409825","-99.05836814081965","122","2201874.139925788","-11027127.100248678"
"1063","19.25414124540983","-99.10550566319674","122","2184879.899324099","-11032374.42523695"
"1266","19.320357740737716","-99.1136460505738","122","2192689.398580935","-11033280.609014627"
"1498","19.44103180842976","-99.20506695603306","121","2206929.7115787934","-11043457.53765821"
"3034","19.429610337333333","-99.1740689814167","120","2205581.4523325055","-11040006.858908294"
